AA -2.91390225531
AC -2.56494935746
AD -3.1945831323
AE -3.50727192805
AF -2.97892515524
AG -3.19575340745
AH -3.04927304048
AI -2.98480320302
AK -3.56482680544
AL -2.8860890961
AM -3.11794990628
AN -3.31678003985
AP -3.44998754583
AQ -3.86423234159
AR -3.18727048545
AS -3.37709983008
AT -3.60186807712
AV -2.90507790529
AW -3.81771232596
AY -2.83011256638
AX -9.21034037198
CA -3.76120011569
CC -2.27726728501
CD -5.49716822529
CE -6.14632925767
CF -3.6720723358
CG -5.1416635565
CH -4.65871095292
CI -4.73400305783
CK -4.66343909411
CL -4.3524261649
CM -4.72738781871
CN -4.56954300834
CP -4.14313472639
CQ -5.65599181082
CR -4.13173209429
CS -4.22439769047
CT -4.41279829334
CV -4.51451581772
CW -3.81771232596
CY -3.98279207632
CX -9.21034037198
DA -3.25037449193
DC -4.35670882669
DD -3.70540875607
DE -3.84374416467
DF -3.6720723358
DG -3.19575340745
DH -2.95396286068
DI -3.34770869671
DK -2.68935806809
DL -3.43613543302
DM -3.34109345759
DN -3.31678003985
DP -4.14313472639
DQ -3.0169344812
DR -2.74543773317
DS -2.92511470634
DT -3.27336401015
DV -3.82136863716
DW -3.1245651454
DY -3.57732696821
DX -9.21034037198
EA -2.91390225531
EC -4.35670882669
ED -3.1945831323
EE -2.96827542732
EF -2.57346004713
EG -3.19575340745
EH -2.86695148369
EI -2.86220088093
EK -1.8420602077
EL -2.74298825246
EM -2.24248116892
EN -2.37231843101
EP -2.53369681396
EQ -2.6114693731
ER -2.03459097551
ES -2.97163472197
ET -2.52194792147
EV -2.80976772548
EW -2.56494935746
EY -3.06650134444
EX -9.21034037198
FA -3.06805293513
FC -2.56494935746
FD -3.70540875607
FE -3.25595749977
FF -2.69124308279
FG -2.57671419904
FH -2.64380793237
FI -3.72240214615
FK -3.63381967693
FL -3.19974665496
FM -2.64794627703
FN -3.65325227647
FP -3.44998754583
FQ -3.57655026914
FR -4.46820433091
FS -2.92511470634
FT -3.31418600467
FV -3.53368656471
FW -3.1245651454
FY -3.28964489576
FX -9.21034037198
GA -3.60704943587
GC -4.35670882669
GD -3.55125807624
GE -4.20041910861
GF -2.89888244756
GG -3.34990408727
GH -3.15463355614
GI -3.48124008934
GK -4.88658264543
GL -3.19974665496
GM -2.78147766966
GN -3.18324864723
GP -4.14313472639
GQ -4.04655389839
GR -3.51269288589
GS -3.53125050991
GT -4.00733318523
GV -3.90838001415
GW -3.41224721785
GY -3.28964489576
GX -9.21034037198
HA -3.25037449193
HC -3.66356164613
HD -3.09927295249
HE -3.66142260788
HF -2.75578160392
HG -2.94443897917
HH -3.56009866425
HI -3.55534806149
HK -3.50028828431
HL -3.50512830451
HM -3.11794990628
HN -3.87639582778
HP -3.04452243772
HQ -3.57655026914
HR -3.77505715035
HS -3.37709983008
HT -3.40119738166
HV -3.36183630778
HW -3.81771232596
HY -3.0019628233
HX -9.21034037198
IA -2.41746536899
IC -2.97041446557
ID -2.72457950305
IE -2.88823271965
IF -3.06593653223
IG -2.50260622689
IH -2.78690877601
II -2.02595285673
IK -2.6619590939
IL -2.35999600021
IM -2.32949254591
IN -2.96010509591
IP -2.75684036527
IQ -2.71155283165
IR -2.67644486169
IS -2.64886132971
IT -2.90872089656
IV -2.56860566866
IW -2.56494935746
IY -2.83011256638
IX -9.21034037198
KA -2.84490938382
KC -2.74727091426
KD -1.91364928684
KE -1.71551245883
KF -2.82477447541
KG -3.75536919538
KH -2.57926941124
KI -2.50937950631
KK -2.44423561006
KL -2.56066669567
KM -2.24248116892
KN -2.42947684485
KP -3.44998754583
KQ -2.36015494482
KR -2.81954570533
KS -2.92511470634
KT -2.62103882411
KV -2.72275634849
KW -2.31363492918
KY -2.13696538582
KX -9.21034037198
LA -2.2948630469
LC -2.56494935746
LD -2.78911802419
LE -2.74513187601
LF -2.51939282586
LG -2.19722457734
LH -2.71280080386
LI -2.33610778503
LK -2.68935806809
LL -2.27298462322
LM -2.93562834948
LN -3.47093071968
LP -1.94591014906
LQ -2.76562005292
LR -2.94214802742
LS -2.72032029369
LT -3.02650393222
LV -2.21193072473
LW -2.56494935746
LY -2.73002910782
LX -9.21034037198
MA -3.94352167249
MC -4.35670882669
MD -4.11087386417
ME -3.66142260788
MF -3.38439026335
MG -3.19575340745
MH -3.74242022104
MI -3.72240214615
MK -3.78797035676
ML -4.3524261649
MM -3.34109345759
MN -4.16407790024
MP -4.14313472639
MQ -4.2696974497
MR -3.88041766601
MS -4.22439769047
MT -4.54632968597
MV -4.22683374527
MW -4.51085950652
MY -5.08140436498
MX -9.21034037198
NA -3.60704943587
NC -3.66356164613
ND -3.55125807624
NE -3.25595749977
NF -3.85439389259
NG -3.06222201482
NH -3.96556377236
NI -3.81771232596
NK -3.43966366249
NL -4.3524261649
NM -3.62877553004
NN -3.47093071968
NP -3.44998754583
NQ -3.09104245336
NR -3.0819099698
NS -3.45120780224
NT -3.27336401015
NV -4.00369019395
NW -3.1245651454
NY -3.20960218808
NX -9.21034037198
PA -4.85981240436
PC -4.35670882669
PD -5.49716822529
PE -4.53689134523
PF -4.77068462447
PG -5.1416635565
PH -4.25324584481
PI -4.73400305783
PK -5.57972982599
PL -3.94696105679
PM -4.72738781871
PN -4.56954300834
PP -4.59528017078
PQ -4.96284463026
PR -4.46820433091
PS -5.32300997914
PT -4.88280192259
PV -4.36036513789
PW -3.81771232596
PY -3.69511000386
PX -9.21034037198
QA -3.76120011569
QC -4.35670882669
QD -2.85811089568
QE -3.10180681995
QF -3.38439026335
