AA -2.84366275993
AC -2.8903717579
AD -2.4159137783
AE -1.63413052502
AF -2.58399755243
AG -3.31418600467
AH -2.06369318471
AI -2.54299056115
AK -2.8903717579
AL -2.42645457471
AM -2.9103724246
AN -2.30258509299
AP -2.66258782703
AQ -3.06805293513
AR -3.52636052462
AS -2.68970106243
AT -2.47293045874
AV -2.54241114427
AW -2.53016324138
AY -2.60268968544
AX -9.21034037198
CA -3.77797199731
CC -2.19722457734
CD -3.33220451018
CE -3.7135720667
CF -3.56482680544
CG -3.13186444788
CH -3.44998754583
CI -3.65343730746
CK -2.8903717579
CL -3.57001825124
CM -4.20965540873
CN -3.40119738166
CP -1.96944064647
CQ -3.76120011569
CR -3.52636052462
CS -3.14168618618
CT -3.1660776393
CV -3.81404259707
CW -2.78147766966
CY -3.4781584228
CX -9.21034037198
DA -4.56642935767
DC -4.59511985013
DD -4.73651168254
DE -4.73651168254
DF -5.06890420222
DG -3.82501162844
DH -4.14313472639
DI -4.7884172403
DK -4.73651168254
DL -5.5510197201
DM -4.61512051684
DN -2.99573227355
DP -3.06805293513
DQ -4.73651168254
DR -2.83321334406
DS -3.4781584228
DT -5.11198778836
DV -4.73033332894
DW -4.73651168254
DY -5.78074351579
DX -9.21034037198
EA -4.09642572843
EC -5.28826703069
ED -5.04829130657
EE -3.02042488614
EF -4.66343909411
EG -5.61677109767
EH -3.44998754583
EI -5.03973166858
EK -2.19722457734
EL -5.32787616879
EM -4.20965540873
EN -5.04829130657
EP -5.04829130657
EQ -5.04829130657
ER -5.04829130657
ES -4.39444915467
ET -5.11198778836
EV -6.52209279817
EW -5.04829130657
EY -5.08759633523
EX -9.21034037198
FA -2.3046662592
FC -2.3978952728
FD -2.63905732962
FE -1.92181259748
FF -2.12446522305
FG -1.97918493794
FH -2.19722457734
FI -2.47478231112
FK -2.19722457734
FL -2.39401929895
FM -2.13021386705
FN -2.99573227355
FP -2.15176220326
FQ -1.96944064647
FR -2.42774823595
FS -1.9521021193
FT -2.16754880919
FV -2.40305562336
FW -2.42480272572
FY -2.19722457734
FX -9.21034037198
GA -3.87328217711
GC -2.80336038091
GD -2.23359222151
GE -3.7135720667
GF -2.81761240361
GG -2.72639933977
GH -2.53369681396
GI -3.32208017151
GK -3.14509227561
GL -3.2997279215
GM -3.51650822817
GN -4.09434456222
GP -1.96944064647
GQ -3.76120011569
GR -3.52636052462
GS -3.4781584228
GT -2.80940269536
GV -3.10436611456
GW -3.62877553004
GY -2.94753017174
GX -9.21034037198
HA -4.09642572843
HC -4.59511985013
HD -4.02535169074
HE -3.02042488614
HF -4.50928841428
HG -4.00733318523
HH -2.75684036527
HI -5.03973166858
HK -4.61872864688
HL -4.99140393217
HM -4.61512051684
HN -4.09434456222
HP -4.61872864688
HQ -3.76120011569
HR -4.61872864688
HS -3.295836866
HT -4.4188406078
HV -5.82894561761
HW -4.72738781871
HY -4.68213122712
HX -9.21034037198
IA -1.73321601362
IC -1.95606252052
ID -1.8281271134
IE -1.76766191765
IF -1.94433905682
IG -1.95320945154
IH -2.19722457734
II -1.58296443577
IK -1.79175946923
IL -1.72237832361
IM -1.67068153767
IN -2.14843441317
IP -2.37490575457
IQ -1.96944064647
IR -2.83321334406
IS -1.86872051036
IT -2.47293045874
IV -1.73044304524
IW -1.83701606082
IY -1.84891788307
IX -9.21034037198
KA -6.17586727011
KC -5.28826703069
KD -5.87149161538
KE -3.02042488614
KF -5.76205138278
KG -5.87149161538
KH -5.87149161538
KI -5.88702952897
KK -5.87149161538
KL -5.32787616879
KM -5.87149161538
KN -5.87149161538
KP -5.87149161538
KQ -3.76120011569
KR -3.52636052462
KS -5.08759633523
KT -5.87149161538
KV -6.11662769006
KW -5.87149161538
KY -5.87149161538
KX -9.21034037198
LA -1.66500776359
LC -1.92097120071
LD -2.63905732962
LE -2.10413415427
LF -1.91190378107
LG -1.97918493794
LH -2.19722457734
LI -1.77070606003
LK -1.28093384546
LL -1.71156740751
LM -1.78190717279
LN -2.01490302054
LP -2.37490575457
LQ -2.15176220326
LR -2.83321334406
LS -1.99655388187
LT -1.89311196349
LV -1.83074491594
LW -2.01933761761
LY -1.79175946923
LX -9.21034037198
MA -3.77797199731
MC -4.18965474203
MD -3.33220451018
ME -2.61495977804
MF -3.27714473299
MG -3.82501162844
MH -3.44998754583
MI -3.34805565791
MK -3.45359567587
ML -3.41095355661
MM -2.82336104761
MN -4.09434456222
MP -3.76120011569
MQ -2.37490575457
MR -3.52636052462
MS -5.08759633523
MT -3.1660776393
MV -3.52636052462
MW -3.62877553004
MY -3.38284824299
MX -9.21034037198
NA -4.38410780088
NC -4.59511985013
ND -2.92673940207
NE -4.66751881105
NF -5.35658627467
NG -5.61677109767
NH -4.14313472639
NI -5.03973166858
NK -4.66751881105
NL -4.85787253954
NM -5.3082676974
NN -4.66751881105
NP -3.76120011569
NQ -3.06805293513
NR -3.52636052462
NS -4.39444915467
NT -3.32022831913
NV -4.91265488574
NW -3.11794990628
NY -5.78074351579
NX -9.21034037198
PA -5.07725498144
PC -3.49650756147
PD -3.33220451018
PE -5.00066325758
PF -4.84576065091
PG -3.82501162844
PH -5.00066325758
PI -5.59934745652
PK -5.00066325758
PL -5.5510197201
PM -5.3082676974
PN -4.09434456222
PP -5.00066325758
PQ -3.76120011569
PR -5.00066325758
PS -4.39444915467
PT -5.11198778836
PV -6.11662769006
PW -3.34109345759
PY -5.08759633523
PX -9.21034037198
QA -5.48272008955
QC -5.28826703069
QD -5.00066325758
QE -5.00066325758
QF -4.66343909411
